probe_id	ensembl_id
ILMN_1348896	ENSRNOG00000049232
ILMN_1348964	
ILMN_1349005	
ILMN_1349117	
ILMN_1349153	
ILMN_1349346	
ILMN_1349677	
ILMN_1349707	
ILMN_1349979	
ILMN_1350013	
ILMN_1350312	
ILMN_1350429	ENSRNOG00000021680
ILMN_1350432	ENSRNOG00000026346
ILMN_1350473	
ILMN_1350524	
ILMN_1350827	
ILMN_1350982	
ILMN_1351083	ENSRNOG00000013238
ILMN_1351485	ENSRNOG00000003872
ILMN_1351728	
ILMN_1351809	
ILMN_1351895	
ILMN_1351989	ENSRNOG00000004146
ILMN_1352014	
ILMN_1352678	ENSRNOG00000046147
ILMN_1352704	
ILMN_1352851	
ILMN_1352924	ENSRNOG00000049743
ILMN_1352934	
ILMN_1353057	
ILMN_1353127	
ILMN_1353150	ENSRNOG00000057064
ILMN_1353317	
ILMN_1353425	
ILMN_1353574	
ILMN_1353675	ENSRNOG00000018935
ILMN_1354090	ENSRNOG00000020807
ILMN_1354356	
ILMN_1354734	
ILMN_1354835	
ILMN_1355198	
ILMN_1355332	
ILMN_1355507	
ILMN_1355527	ENSRNOG00000047279
ILMN_1355551	
ILMN_1355685	ENSRNOG00000011777
ILMN_1355874	ENSRNOG00000009878
ILMN_1355973	
ILMN_1356079	ENSRNOG00000028877
ILMN_1356083	
ILMN_1356091	
ILMN_1356394	
ILMN_1356509	ENSRNOG00000014846
ILMN_1356539	ENSRNOG00000006589
ILMN_1356604	
ILMN_1357018	
ILMN_1357082	ENSRNOG00000003041
ILMN_1357106	
ILMN_1357178	
ILMN_1357228	ENSRNOG00000049096
ILMN_1357399	ENSRNOG00000049074
ILMN_1357524	
ILMN_1357827	ENSRNOG00000062297
ILMN_1357854	
ILMN_1358609	ENSRNOG00000002597
ILMN_1358638	ENSRNOG00000046298
ILMN_1358694	
ILMN_1358765	ENSRNOG00000011271
ILMN_1359156	
ILMN_1359268	ENSRNOG00000049850
ILMN_1359375	
ILMN_1359512	ENSRNOG00000047419
ILMN_1359893	ENSRNOG00000000201
ILMN_1360061	
ILMN_1360132	ENSRNOG00000020119
ILMN_1360191	ENSRNOG00000045565
ILMN_1360409	
ILMN_1360461	
ILMN_1360841	
ILMN_1361118	
ILMN_1361540	
ILMN_1362284	ENSRNOG00000011856
ILMN_1362544	ENSRNOG00000004146
ILMN_1362558	ENSRNOG00000058416
ILMN_1362651	
ILMN_1362870	ENSRNOG00000024849
ILMN_1363032	
ILMN_1363065	ENSRNOG00000001573
ILMN_1363206	
ILMN_1363348	
ILMN_1363413	ENSRNOG00000009273
ILMN_1363425	
ILMN_1363591	
ILMN_1363623	
ILMN_1364014	ENSRNOG00000052636
ILMN_1364399	
ILMN_1364703	
ILMN_1364789	
ILMN_1364894	
ILMN_1364952	
ILMN_1365340	ENSRNOG00000060572
ILMN_1365384	ENSRNOG00000029958
ILMN_1365467	ENSRNOG00000011494
ILMN_1365704	
ILMN_1366115	
ILMN_1366364	
ILMN_1366562	
ILMN_1367010	ENSRNOG00000054932
ILMN_1367105	
ILMN_1367166	
ILMN_1367406	
ILMN_1367502	ENSRNOG00000038970
ILMN_1367549	ENSRNOG00000023393
ILMN_1367777	
ILMN_1367815	
ILMN_1367877	ENSRNOG00000046663
ILMN_1368448	ENSRNOG00000046439
ILMN_1368503	
ILMN_1368513	
ILMN_1368696	ENSRNOG00000038540
ILMN_1369356	ENSRNOG00000024889
ILMN_1369449	
ILMN_1369574	
ILMN_1369876	
ILMN_1369927	
ILMN_1370629	
ILMN_1370642	
ILMN_1370761	
ILMN_1370946	
ILMN_1370965	ENSRNOG00000054359
ILMN_1371212	
ILMN_1371406	ENSRNOG00000016871
ILMN_1371556	ENSRNOG00000018426
ILMN_1371685	ENSRNOG00000048209
ILMN_1371715	
ILMN_1371773	
ILMN_1372198	ENSRNOG00000059748
ILMN_1373023	ENSRNOG00000036647
ILMN_1373443	
ILMN_1373506	
ILMN_1373542	
ILMN_1373776	
ILMN_1373791	
ILMN_1373841	ENSRNOG00000011271
ILMN_1374041	ENSRNOG00000048295
ILMN_1374195	
ILMN_1374568	
ILMN_1374577	
ILMN_1374589	ENSRNOG00000028335
ILMN_1374660	ENSRNOG00000011329
ILMN_1374725	
ILMN_1374984	
ILMN_1375061	
ILMN_1375117	ENSRNOG00000028335
ILMN_1375182	
ILMN_1375909	ENSRNOG00000061714
ILMN_1376516	
ILMN_1376573	ENSRNOG00000061714
ILMN_1376727	ENSRNOG00000012801
ILMN_1376887	
ILMN_1530414	
ILMN_1649773	ENSRNOG00000028335
ILMN_1649810	ENSRNOG00000046735
ILMN_1650536	
ILMN_1650571	
ILMN_1650594	ENSRNOG00000008551
ILMN_1650954	
ILMN_2039346	
